Time,Event,Source
2019年8月,  博恩 2019年 8月 結婚 ， 曾 在 影片 中 曬 出婚 紗 照 ， 太太 Mami 臉蛋姣 好 ， 身穿 下半身 透視 的 蕾絲 禮服 小露 美腿 ， 雙方 互動 超甜 蜜 ， 只 不過 博恩 事先 完全 沒 說過 老婆 已 懷孕 ,11
2021年10月10日, 今 10日 無 預警 在 社群 平台 宣布 當 爸 ， 用 幽默 的 口 吻 打趣 表示 ： 「 千萬 別 相信 單單 一次 精液 分析 的 結果 。,11
2020年,  事實 上 ， 博恩 去年 曾 在 陶晶瑩 的 節目 中 透露 絕對 不 生 小孩 ， 讓 陶晶瑩 忍不住 開玩笑 ： 「 你 套子 戴 幾 層 啊 ？,11
2021年10月10日, 」 這時 博恩 才 鬆口 自己 的 精子 品質 不優 ， 「 我 的 形狀 良率 好像 很差 ， 所以 它們 沒有 辦法 鑽進去 卵子 裡 」 所以 對 生 小孩 一 事 隨 緣 ， 笑說 自己 有了 「 無限 開火權 」 ， 想不到 今年 就 升格 當 爸爸 。,11
2021年10月07日,藝人 雞排妹 昨 （ ７日 ） 開 直播 「 屠龍 」 ， 除了 表示 與 龍龍 關係 徹底 決裂 ， 更 宣布 公司 即刻 起 解約 ， 怒斥 她 利用 公司 善心 達成 目的 ， 也 讓 整起 事件 大 逆轉 ， 對 此 ， 龍龍 深夜 在 臉書 發表 「 不 自殺 聲明 」 ， 希望 所有 人 不用 為 她 特別 擔心 。,12
2021年10月07日,  隨 後 ， 龍龍 也 在 臉書 發文 ： 「 被 切割 ㄌ ， 但 我 沒有 要 自殺 目前 還 活著 ， 請 大家 放心 ， 不好意思 讓 大家 擔心 捏 」 ， 接著 更改 粉絲 專頁 上 的 聯繫 資訊 ， 將 原本 經紀人 康 姐 e-mail 刪除 ， 換成了 自己 的 e-mail ， 接著 在 instagram 曬岀 慶生 蛋糕 的 照片 ， 再次 強調 ： 「 我 沒有 要 自殺 ， 請 大家 不要 擔心 ， 附 上 我 的 生日 蛋糕 ， 昨天 第三個 許 的 願望 是 希望 喜劇 圈 越來 越好 」 。,12
2021年10月,  脫口秀 演員龍龍 去年 10月 控訴 遭 薩泰 爾 娛樂 《 炎 上 》 班 底 老 K 霸凌 脫稿 演出 ， 嘲笑 她 與 前 男友賀瓏 的 關係 ， 引起 的 「 龍 K 之 亂 」 當時 造成 軒然 大波 。,13
2021年, 」  龍龍 去年 控訴 遭到 《 炎 上 》 班 底 老 K 霸凌 。,13
2022年09月26日, 」 如今 他 也 有 穩定 發展 的 女友 ， 但 跟 女友 沒 刻意 聊過 龍龍 ， 賀瓏 認為 ： 「 畢竟 我 跟 她 的 事情 已經 相隔 太久 了 。,13
2021年,  脫口秀 演員龍龍 闖蕩 喜劇 圈 多年 ， 不過 去年 經歷 與 老 K 的 「 龍 K 風波 」 後形象 大傷 ， 引來 不少 網友 攻擊 、 批評 。,14
2022年09月26日, 如今 ， 她 重新 出發 經常 在 社群 平台 上 分享 工作 、 生活 日常 ， 近日 她 在 IG 上 透露 自己 收到 私訊 ， 問 她 是否 有 興趣 接 飯局 ， 對 此 她 曝光 訊息 內容 及 驚人 價碼 ， 開玩笑 說 ： 「 事業 第二 春 ？,14
2021年,  事實 上 ， 龍龍 去年 經歷 風波 後 ， 雖 心情 大 受 影響 神隱 3個月 ， 不過 也 因此 知名度 大開 ， 近日 除了 演出 全民 大劇團 《 仁愛路 六 號 》 全新 舞台劇 外 ， 同時 也 再度 「 滿 血回 歸 」 舉辦 個人 脫口秀 ， 獲得 粉絲們 不少 好評 。,14
2022年09月25日,  龍龍 昨晚 發聲 說明 一 系列爭議 時 再度 落淚 。,15
2022年09月25日,  龍龍 昨日 再度 落淚 澄清 近日 關於 和 老 K 的 爭議 、 長年 被 霸凌 、 有 寫手 、 雙 標女權 等 爭議 。,15
2022年09月25日, 而 「 雞排妹 」 鄭家純 昨 ( 7日 ) 「 屠龍 」 說 出原因 ， 才 知 龍龍 曾 被 笑 「 兩 人 都 很矮 ， 做 X 像 天線寶寶 」 ， 就 有 網友 PO 出天線 寶寶身高 資料 ， 不 禁 嘆 「 天線 寶寶 被 黑 的 好慘 」 。,16
2022年09月6日, （ 合成 圖 ／ 翻攝 自 chienyu1006 、 hellohorlung   IG ）  龍龍 6日 拍 影片 還 原 「 炎 上 節目的 溝通 過程 與 霸凌 始末 」 ， 表示 一 開始 受邀 演出 前 ， 就 先 跟 薩泰 爾 說好 ， 不要 提 前 男友賀瓏 ， 並 出示 雙方 對話 證明 ， 誰 料 表演 當天 老 K 依舊 脫稿 演出 ， 對 此 ， 博恩 雖向 她 道歉 ， 承諾 會 對 老 K 做出 懲處 ， 取消 老 K 這次 的 演出 費用 、 停止 他 在 薩泰 爾 的 露出 ， 但 龍龍 卻 看到 老 K 出現 在 新片 中 ， 甚至於 老男孩 直播 繼續 開 她 前 段 戀情 的 完 笑 ；,16
2022年09月25日,  而 「 雞排妹 」 鄭家純 昨 ( 7日 ) 直播 「 屠龍 」 時 ， 表示 整個 公司 雖 替 龍龍 抱 不平 ， 但 大家 也 奇怪 「 為何 龍龍 對 前 男友 這麼 牴觸 」 ， 起初龍龍 都 聲稱 「 當時 很開心 美好 ， 兩 人 也 是 和平 分手 」 ， 但 隨著 風波 愈演 愈烈 ， 賀瓏 甚至 因此 成了 「 全台 最紅 前 男友 」 ， 鄭家純 覺得 奇怪 ， 既然 沒有 發生 什麼 事情 ， 那 龍龍 為何 反應 要 這麼大 ， 此 時 龍 龍才稱 ， 因為 曾 被 笑 「 你們 兩個 人 都 矮矮 的 ， 很像 天線 寶寶 在 做 X 」 。,16
2022年09月2日, 不 料 ， 龍龍 前天 （ 2日 ） 公開 一名 髮型 師網友 的 私訊 內容 ， 導致 對方 被 粉絲 出征 ， 最後 出面 道歉 ， 被 不少 人 質疑 「 這個 才 是 霸凌 吧 」 ？,18
2022年09月26日,  龍龍 公審 網友 的 行為 曝光 後 ， 在 網路 上 引起 熱議 ， 有 網友 認為 龍龍 自己 不 想 被 別人 霸凌 ， 如今 又 霸凌 別人 ， 根本 雙標 ， 不過 也 有 人 覺得 ， 網友 自己 不 尊重 在先 ， 想 私訊 就 應該 承擔 後 果 ， 龍龍 也 沒有 指示 粉絲 前往 霸凌 ， 霸凌 的 是 粉絲 而 不 是 龍龍 。,18
2022年09月26日,  針對 整起 事件 ， 老 K 今 （ 4日 ） 深夜 在 臉書 發文 ， 表示 雖然 不 是 什麼 咖 ， 但 也 多少 算 半個 公眾人物 ， 隔空 互罵 也 無所謂 ， 他 怒嗆 龍龍 ： 「 但 你 去 把 網友 私訊 公開 讓 你 的 粉絲 在 那邊 公審 ， 去 鬧到 人家 工作 場合 ， 啊 不 就 很偉大 ， 不 就 最 不 會 霸凌 ， 不 就 最 會 被 霸凌 ， 這 還 不 是 大欺 小 什麼 是 大欺 小 。,18
2021年10月, （ 翻攝 自 臉書 ）  脫口秀 演員龍龍 去年 10月 控訴 遭 《 炎 上 》 班 底 老 K 霸凌 ， 引爆 「 龍 K 之 亂 」 鬧得 滿城風雨 。,19
2022年09月26日, 如今 過去 7個月 ,19
2022年09月26日, 身為 龍龍 前 男友 的 賀瓏 如今 再次 回想 起 ， 坦言 一度 相當 自責 ， 並 為 受 波及 的 博恩 等 人 抱 不平 ， 真心話 全 說了 。,19
2022年09月26日, 」  如今 事件 過去 7個月 ， 賀瓏 現在 也 有 穩定 交往 的 女友 ， 被 問到 有沒有 與 女方 聊過 龍龍 ， 賀瓏 表示 沒有 刻意 聊過 ， 認為 ： 「 畢竟 我 跟 她 的 事情 已經 相隔 太久 了 。,19
2022年09月26日, 對 此 ， DJ 歐馬 克 今 （ 4日 ） 也 發文 ， 直言 不 應該 公開 地 攻擊 任何 人 。,20
2022年09月2日, 對 此 ， 博恩 2日 宣布 老 K 將 無限 期 留職 停薪 ， 而 老 K 則是 在 聲明 影片 中 表示 不 會 道歉 ， 更說 龍龍 是 喜劇 圈 毒瘤 ， 與 她 勢 不 兩 立 。,20
2022年09月26日,  針對 這起 事件 ， 歐馬 克 也 做出 評論 ， 他 今日 在 臉書 發文 ： 「 無論 你 多 確信 你 是 正義 的 ， 你 還是 不 應該 公開 地 攻擊 任何 人 。,20
2021年,喜劇 演員龍龍 在 威爾 史密 斯氣 到衝 上 台 賞巴掌 事件 發生 後 ， 將 自己 去年 發生 的 指控 霸凌 爭議 拿出來 吐槽 ， 「 當初 應該 衝 上 台 揍 一 拳 的 ， 而 不 是 躲起來 哭 ， 大家 就 會 說 『 好帥 ！,21
2022年09月25日, 」 這番 發文 不只 網友 批評 ， 許多 喜劇 圈 演員 亦 跳出來 嗆 她 ， 被 炎 上 後 ， 她 昨晚 在 臉書 發文 指 自己 沒有 要 自 比 威爾 史密 斯 ， 意思 被 曲 解 。,21
2021年9月,  龍龍 去年 9月 槓上 「 薩泰爾 」 班 底 老 K ， 不滿 對方 在 脫口秀 上 拿 她 和 前 男友賀瓏 的 往 事 開玩笑 ， 認為 自己 遭到 霸凌 。,21
2021年,  對於 去年 惹出 的 爭議 ， 龍龍 再次 表示 ， 「 直接 謾罵 和 侵犯 隱私 不 是 我 認為 喜劇 的 範圍 ， 我 不 覺得 喜劇演員 或 是 公眾人物 需要 把 所有 的 私事 攤 在 陽光 底下 受 人 指指點點 ， 這 也 是 我 感到 受傷 的 部分 ， 我 的 標準 始終 在 這裡 。,21
2021年,博恩 與 朋友 共同 創辦 薩泰 爾 娛樂 ， 去年 推出 喜劇節目 《 炎 上 BURN 》 ， 脫口秀 形式 吐槽 ， 澎 恰恰 、 徐 乃 麟 、 愛 莉莎 莎 、 熊熊 等 人 都 曾 是 座上賓 ， 還 鬧 出龍 龍 和 老 K 風暴 ， 節目 日前 在 OTT 平台 上架 ， 沒 想到 竟 出現 一堆 盜版 ， 博恩 現身 台北 地方 檢察署 提告 。,22
2019年,  邱毅 2019年 赴 北檢 提告 ， 按錯鈴 。,22
2016年, 網友 也 紛紛 貢獻 「 致敬 一目了然 」 段子 ， 包括 韓國瑜 2016年 在 北檢 按鈴 提告 段宜康 ， 為 媒體 拍照 按錯鈴 ；,22
2019年, 以及 邱毅 2019年 在 北檢 按鈴 提告 柯文哲 ， 為 媒體 拍照 也 按錯鈴 。,22
2022年09月28日,記者 徐郁雯 ／ 專訪  喜劇 演員賀瓏 曾 在 脫口秀 《 博恩 夜 夜 秀 》 擔任 助理 主持 ， 憑藉 天生 幽默感 及 後天 的 鍛鍊 ， 人氣 扶搖直上 ， 將 在 28日 於 TICC 舉辦 個人 喜劇專場 《 妳 好 就 好 》 ， 首度 挑戰 3000 人 舞台 ,23
