Time,Event,Source
2022年09月25日,龍龍昨日再度落淚澄清近日關於和老K的爭議、長年被霸凌、有寫手、雙標女權等爭議。,15
2022年09月25日,而「雞排妹」鄭家純昨(7日)「屠龍」說出原因，才知龍龍曾被笑「兩人都很矮，做X像天線寶寶」，就有網友PO出天線寶寶身高資料，不禁嘆「天線寶寶被黑的好慘」。,16
2022年09月6日,（合成圖／翻攝自chienyu1006、hellohorlung IG）龍龍6日拍影片還原「炎上節目的溝通過程與霸凌始末」，表示一開始受邀演出前，就先跟薩泰爾說好，不要提前男友賀瓏，並出示雙方對話證明，誰料表演當天老K依舊脫稿演出，對此，博恩雖向她道歉，承諾會對老K做出懲處，取消老K這次的演出費用、停止他在薩泰爾的露出，但龍龍卻看到老K出現在新片中，甚至於老男孩直播繼續開她前段戀情的完笑；,16
2022年09月25日,而「雞排妹」鄭家純昨(7日)直播「屠龍」時，表示整個公司雖替龍龍抱不平，但大家也奇怪「為何龍龍對前男友這麼牴觸」，起初龍龍都聲稱「當時很開心美好，兩人也是和平分手」，但隨著風波愈演愈烈，賀瓏甚至因此成了「全台最紅前男友」，鄭家純覺得奇怪，既然沒有發生什麼事情，那龍龍為何反應要這麼大，此時龍龍才稱，因為曾被笑「你們兩個人都矮矮的，很像天線寶寶在做X」。,16
2022年09月2日,不料，龍龍前天（2日）公開一名髮型師網友的私訊內容，導致對方被粉絲出征，最後出面道歉，被不少人質疑「這個才是霸凌吧」？,18
2022年09月26日,龍龍公審網友的行為曝光後，在網路上引起熱議，有網友認為龍龍自己不想被別人霸凌，如今又霸凌別人，根本雙標，不過也有人覺得，網友自己不尊重在先，想私訊就應該承擔後果，龍龍也沒有指示粉絲前往霸凌，霸凌的是粉絲而不是龍龍。,18
2022年09月26日,針對整起事件，老K今（4日）深夜在臉書發文，表示雖然不是什麼咖，但也多少算半個公眾人物，隔空互罵也無所謂，他怒嗆龍龍：「但你去把網友私訊公開讓你的粉絲在那邊公審，去鬧到人家工作場合，啊不就很偉大，不就最不會霸凌，不就最會被霸凌，這還不是大欺小什麼是大欺小。,18
2021年10月,（翻攝自臉書）脫口秀演員龍龍去年10月控訴遭《炎上》班底老K霸凌，引爆「龍K之亂」鬧得滿城風雨。,19
2022年09月26日,如今過去7個月,19
2022年09月26日,身為龍龍前男友的賀瓏如今再次回想起，坦言一度相當自責，並為受波及的博恩等人抱不平，真心話全說了。,19
2022年09月26日,」如今事件過去7個月，賀瓏現在也有穩定交往的女友，被問到有沒有與女方聊過龍龍，賀瓏表示沒有刻意聊過，認為：「畢竟我跟她的事情已經相隔太久了。,19
2022年09月26日,對此，DJ歐馬克今（4日）也發文，直言不應該公開地攻擊任何人。,20
2022年09月2日,對此，博恩2日宣布老K將無限期留職停薪，而老K則是在聲明影片中表示不會道歉，更說龍龍是喜劇圈毒瘤，與她勢不兩立。,20
2022年09月26日,針對這起事件，歐馬克也做出評論，他今日在臉書發文：「無論你多確信你是正義的，你還是不應該公開地攻擊任何人。,20
2021年,喜劇演員龍龍在威爾史密斯氣到衝上台賞巴掌事件發生後，將自己去年發生的指控霸凌爭議拿出來吐槽，「當初應該衝上台揍一拳的，而不是躲起來哭，大家就會說『好帥！,21
2022年09月25日,」這番發文不只網友批評，許多喜劇圈演員亦跳出來嗆她，被炎上後，她昨晚在臉書發文指自己沒有要自比威爾史密斯，意思被曲解。,21
2021年9月,龍龍去年9月槓上「薩泰爾」班底老K，不滿對方在脫口秀上拿她和前男友賀瓏的往事開玩笑，認為自己遭到霸凌。,21
2021年,對於去年惹出的爭議，龍龍再次表示，「直接謾罵和侵犯隱私不是我認為喜劇的範圍，我不覺得喜劇演員或是公眾人物需要把所有的私事攤在陽光底下受人指指點點，這也是我感到受傷的部分，我的標準始終在這裡。,21
2021年,博恩與朋友共同創辦薩泰爾娛樂，去年推出喜劇節目《炎上BURN》，脫口秀形式吐槽，澎恰恰、徐乃麟、愛莉莎莎、熊熊等人都曾是座上賓，還鬧出龍龍和老K風暴，節目日前在OTT平台上架，沒想到竟出現一堆盜版，博恩現身台北地方檢察署提告。,22
2019年,邱毅2019年赴北檢提告，按錯鈴。,22
2016年,網友也紛紛貢獻「致敬一目了然」段子，包括韓國瑜2016年在北檢按鈴提告段宜康，為媒體拍照按錯鈴；,22
2019年,以及邱毅2019年在北檢按鈴提告柯文哲，為媒體拍照也按錯鈴。,22
2022年09月28日,記者徐郁雯／專訪喜劇演員賀瓏曾在脫口秀《博恩夜夜秀》擔任助理主持，憑藉天生幽默感及後天的鍛鍊，人氣扶搖直上，將在28日於TICC舉辦個人喜劇專場《妳好就好》，首度挑戰3000人舞台,23
2022年09月26日,如今晚場票券即將售罄，證明賀瓏不僅有才華，也有一群默默守護的死忠粉絲，等待他站上舞台發光發熱。,23
2021年,（薩泰爾提供）去年「龍K之亂」在喜劇圈掀起風暴，當時的薩泰爾班底老K調侃龍龍過去情事，讓身為龍龍前男友的賀瓏意外成為焦點。,23
2022年09月25日,對此，龍龍昨（6日）再次出面，表示想跟施暴者和解，從頭到尾要求不多，不過影片中卻沒談到自己公審髮型師的行為，遭到網友砲轟：「現在絕口不提，從未見過這麼沒品的人。,25
2022年09月25日,（翻攝自IG @chienyu1006）針對這起事件，龍龍昨日透過影片表示，這是一個職場霸凌的性羞辱事件，與女權無關，性羞辱是欺負、侮辱，不是笑話、也不好笑。,25
2022年09月26日,最後也說：「老K今天雖然沒有道歉，但不代表這整件事情沒有意義。,25
2022年09月26日,今（1日）「薩泰爾娛樂」在臉書宣布《炎上》謝和弦及愛莉莎莎場將延期至明年,26
2022年2月,2月，儘管對霸凌事件隻字未提，仍被網友灌爆留言直嗆：「現在輪到誰炎上啊？,26
2022年09月25日,（翻攝自薩泰爾娛樂 臉書）根據《ETtoday》昨（30日）報導，龍龍經紀人向「薩泰爾」反應該事件時，卻被反要求先去蓋公司章，否則就會收到律師寄存證信函。,26
2022年09月26日,而《炎上》謝和弦及愛莉莎莎場，先前已經因疫情數度延期，原訂於今、明天先後演出,26
2022年09月26日,今日卻再宣布延期至明年,26
2022年2月12,2月12,26
2022年09月13日,13日，原因為「原《炎上 愛莉莎莎》場次參與之火伴三原慧悟、聖結石因行程安排無法參與演出，歡迎新火伴酸酸、見習網美小吳、大蛇丸加入。,26
